ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
16,Hyundai Elantra 2.0 SX Option AT,Coimbatore,2015,58239,Petrol,Automatic,First,,1999 CC,149.92 bhp,5,9.69
17,Maruti Swift Vdi BSIII,Hyderabad,2010,86000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,5,3.6
18,Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,3
19,Honda City 1.5 V MT,Hyderabad,2011,,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,5.5
20,Jeep Compass 2.0 Limited Option 4X4,Jaipur,2017,,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5,20
21,Hyundai Verna 1.6 SX VTVT (O),Bangalore,2014,45000,Petrol,Manual,First,17.1 kmpl,1591 CC,,5,7.5
22,Audi Q5 2.0 TDI,Delhi,2013,71000,Diesel,Automatic,First,14.16 kmpl,1968 CC,,5,21.5
23,Hyundai Grand i10 Asta,Kolkata,2014,41000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,3.14
24,Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,Diesel,Automatic,First,12.81 kmpl,0CC,148.31 bhp,7,41.5
25,Tata Indica Vista Aura 1.3 Quadrajet,Chennai,2011,120000,Diesel,Manual,,18.0 kmpl,1248 CC,75 bhp,5,1.75
26,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,Diesel,Automatic,First,11.0 kmpl,2987 CC,258 bhp,7,79
27,Maruti Wagon R AMT VXI,Kochi,2018,27413,Petrol,Automatic,,20.51 kmpl,998 CC,67 bhp,5,5.18
28,Audi Q3 2.0 TDI,Chennai,2014,60000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,20
29,Hyundai i10 Era,Jaipur,2013,46230,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,3.1
30,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Kolkata,2018,4900,Diesel,Manual,,21.5 kmpl,1497 CC,108.5 bhp,5,9.22
31,Maruti Swift VDI,Jaipur,2015,,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,5.1
32,Honda Amaze S i-Dtech,Jaipur,2015,91000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,4.68
33,Maruti Alto LXi,Kolkata,2010,38127,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,1.55
34,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,,25.32 kmpl,1198 CC,77 bhp,6,5.58
35,Maruti Celerio ZXI AT Optional,Pune,2016,64000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,4.2
36,Maruti Wagon R LXI Minor,Jaipur,2009,111000,Petrol,Manual,,18.9 kmpl,1061 CC,67 bhp,5,1.51
37,Maruti Alto LXi,Hyderabad,2009,65090,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,2.15
38,Honda Amaze VX i-DTEC,Kolkata,2013,38001,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,3.9
39,Honda Amaze VX i-Vtech,Pune,2015,79000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,4
40,Honda Amaze S i-VTEC,Kochi,2017,,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,5.53
41,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,18.55
42,Mercedes-Benz New C-Class 220 CDI AT,Jaipur,2013,35299,,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,19
43,Toyota Etios G,Kolkata,2011,45560,Petrol,Manual,First,17.6 kmpl,0CC,88.73 bhp,5,2.2
44,Maruti Swift Dzire Tour LDI,Kolkata,2015,,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,4
45,Maruti Ciaz ZDi Plus SHVS,Kochi,2016,40810,Diesel,Manual,First,28.09 kmpl,0CC,88.5 bhp,5,7.9
46,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Kolkata,2014,34233,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5,22.5
47,Renault Duster 110PS Diesel RxL,Coimbatore,2013,52600,Diesel,Manual,First,19.6 kmpl,1461 CC,108.45 bhp,5,7.26
48,Maruti Swift VDI BSIV,Hyderabad,2014,108000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,5.5
49,Volkswagen Polo 1.2 MPI Highline,Kolkata,2014,22000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5,4.11
50,Chevrolet Beat LT,Kolkata,2010,30000,Petrol,Manual,First,18.6 kmpl,1199 CC,,5,1.6
51,Mercedes-Benz New C-Class C 250 CDI Elegance,Hyderabad,2012,65000,Diesel,Automatic,First,14.94 kmpl,2143 CC,,5,16
52,Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5,8.2
53,Renault Duster 110PS Diesel RxZ Plus,Mumbai,2013,,Diesel,Manual,Second,19.64 kmpl,1461 CC,108.45 bhp,5,5.4
54,Nissan Sunny XL CVT,Hyderabad,2014,,Petrol,Automatic,First,17.97 kmpl,1498 CC,99.6 bhp,5,7.99
55,BMW X5 3.0d,Chennai,2009,110000,Diesel,Automatic,First,11.0 kmpl,0CC,235 bhp,5,18
56,Maruti Swift LDI,Delhi,2013,70000,Diesel,Manual,First,22.9 kmpl,1248 CC,,5,3.5
57,Maruti Swift Dzire ZDI,Ahmedabad,2012,56121,Diesel,Manual,First,23.4 kmpl,1248 CC,,5,4.25
58,Hyundai i20 Sportz 1.4 CRDi,Delhi,2014,55000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,5.64
59,Maruti Swift Dzire Tour LDI,Kolkata,,100000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,3.5
60,Hyundai i20 Magna Optional 1.2,Bangalore,2013,,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,4.45
61,Maruti Swift Dzire AMT ZDI,Jaipur,2016,54897,Diesel,Automatic,First,26.59 kmpl,0CC,74 bhp,5,7.3
62,Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,2012,62729,Diesel,Manual,First,12.05 kmpl,2179 CC,,8,6.32
63,Maruti Swift Dzire LDi,Hyderabad,2011,130002,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5,3.85
64,Renault Duster 85PS Diesel RxL Optional,Jaipur,2014,75000,Diesel,Manual,First,20.46 kmpl,1461 CC,,5,7.5
65,Maruti Celerio VXI,Bangalore,2015,67600,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,4
66,Maruti Vitara Brezza ZDi Plus,Coimbatore,2018,52380,Diesel,Manual,First,24.3 kmpl,1248 CC,,5,10.15
67,Honda Brio 1.2 VX MT,Kochi,2014,41460,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,3.95
68,Maruti Alto 800 VXI,Kolkata,2016,26000,,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,2.6
69,Porsche Cayenne 2009-2014 Diesel,Kochi,2015,47877,Diesel,Automatic,First,15.15 kmpl,2967 CC,240 bhp,5,48.22
70,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5,29.4
71,Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,20780,Petrol,Manual,First,18.9 kmpl,0CC,81.86 bhp,5,4.3
72,Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2016,47392,Diesel,Manual,First,20.5 kmpl,1582 CC,126.2 bhp,5,13.82
73,Hyundai EON Era Plus,Jaipur,2016,70000,Petrol,Manual,First,21.1 kmpl,814 CC,,5,3
74,Hyundai Verna CRDi 1.6 SX,Hyderabad,,143275,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,2.6
75,Volkswagen Vento Sport 1.2 TSI AT,Mumbai,2014,34987,Petrol,Automatic,First,18.19 kmpl,0CC,103.5 bhp,5,5.95
76,Maruti SX4 ZXI MT BSIV,Mumbai,2010,72000,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5,2.4
77,Maruti Zen Estilo 1.1 VXI BSIII,Delhi,2008,138000,Petrol,Manual,,18.2 kmpl,1061 CC,64 bhp,5,1.2
78,BMW X3 xDrive 20d Expedition,Pune,2013,98000,Diesel,Automatic,First,18.56 kmpl,1995 CC,190 bhp,5,17.5
79,Volkswagen Vento Diesel Highline,Bangalore,2012,50000,Diesel,Manual,,20.54 kmpl,1598 CC,103.6 bhp,5,5.5
80,Maruti Alto LXi,Chennai,2006,68000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,1.5
81,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,6.5
82,Maruti Alto LXi BSIII,Hyderabad,2012,67147,Petrol,Manual,First,19.7 kmpl,796 CC,,5,2.6
83,Chevrolet Optra 1.6 LT Royale,Kochi,2013,55176,,Manual,Second,17.4 kmpl,1599 CC,104 bhp,5,3.47
84,Hyundai Verna XXi ABS (Petrol),Bangalore,2008,38000,Petrol,Manual,Second,13.9 kmpl,1599 CC,103.2 bhp,5,2.6
85,Tata New Safari DICOR 2.2 EX 4x4,Hyderabad,2007,103000,Diesel,Manual,First,13.93 kmpl,2179 CC,,7,3.6
86,Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5,6.21
87,Mahindra XUV500 W10 2WD,Coimbatore,2017,57847,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,16.08
88,Honda City i VTEC V,Coimbatore,2017,27279,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,9.47
89,Maruti Vitara Brezza VDi Option,Hyderabad,2018,,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,9.4
90,Mercedes-Benz E-Class E 220 d,Hyderabad,2013,85000,Diesel,Automatic,,16.1 kmpl,1950 CC,194 bhp,5,21
91,Honda City i-DTEC SV,Kolkata,2015,39000,Diesel,Manual,First,25.6 kmpl,1498 CC,98.6 bhp,5,5.49
92,Toyota Fortuner 3.0 Diesel,Pune,2009,,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7,10.5
93,Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.3 bhp,5,5.7
94,Mahindra XUV500 W6 2WD,Jaipur,2014,88511,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,8.25
95,Audi Q7 35 TDI Quattro Technology,Bangalore,2015,,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,52.5
96,Volkswagen Jetta 2013-2015 2.0L TDI Highline,Kolkata,2013,58000,Diesel,Manual,First,19.33 kmpl,1968 CC,138.03 bhp,5,5.9
97,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,3.75
98,Skoda Superb Elegance 2.0 TDI CR AT,Coimbatore,2014,81001,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5,10.9
99,Skoda Superb Style 1.8 TSI AT,Kochi,2017,,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5,17.08
100,Volkswagen Polo 1.5 TDI Trendline,Jaipur,2014,82621,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5,4.42
101,Hyundai Grand i10 AT Asta,Coimbatore,2017,22526,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5,7.6
102,Maruti Dzire VXI,Kolkata,2011,,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,2.7
103,Ford Figo Diesel Titanium,Bangalore,,32510,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,3.75
104,Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1 kmpl,796 CC,,4,0.75
105,Honda City Corporate Edition,Mumbai,2012,51920,,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,4.25
106,Skoda Octavia Ambiente 1.9 TDI MT,Hyderabad,2002,99000,Diesel,Manual,Second,18.7 kmpl,1896 CC,,5,1.9
107,Ford Fiesta 1.4 Duratorq EXI,Chennai,2006,89327,Diesel,Manual,Third,17.8 kmpl,1399 CC,68 bhp,5,1.55
108,Honda CR-V 2.4 AT,Delhi,2010,,Petrol,Automatic,Second,10.1 kmpl,2354 CC,152 bhp,5,4.8
109,Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5,4.5
110,Hyundai Grand i10 CRDi Sportz,Jaipur,2016,46522,Diesel,Manual,,24.0 kmpl,1120 CC,70 bhp,5,4.5
111,Mahindra Scorpio VLX 2WD AIRBAG BSIV,Jaipur,2011,83000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,6.71
112,Chevrolet Sail 1.2 LS,Mumbai,2015,41000,Petrol,Manual,First,18.2 kmpl,1199 CC,82.4 bhp,5,3.25
113,Mercedes-Benz GLE 350d,Coimbatore,2018,30706,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5,59.29
114,Renault Duster Adventure Edition,Kochi,2015,75863,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,6.7
115,Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,Petrol,Manual,First,17.01 kmpl,0CC,121.3 bhp,5,5.6
116,Hyundai Grand i10 Sportz,Ahmedabad,2017,17125,Petrol,Manual,First,18.9 kmpl,0CC,82 bhp,5,5.4
117,Mahindra XUV500 AT W10 AWD,Coimbatore,2018,,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,16.77
118,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,2019,8587,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5,13.56
119,Jaguar XF 2.2 Litre Luxury,Mumbai,2018,3000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,52.5
120,Hyundai i10 Magna,Kochi,2011,65423,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,3.16
121,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,20604,Diesel,Automatic,First,19.27 kmpl,2143 CC,,5,39.62
122,Land Rover Range Rover HSE Dynamic,Kochi,2018,52827,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,44.76
123,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2010,,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,2.5
124,Mahindra Scorpio S10 7 Seater,Kochi,2018,27395,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7,14.19
125,Mercedes-Benz S Class 2005 2013 S 350 L,Bangalore,2006,47088,Petrol,Automatic,,10.13 kmpl,3498 CC,364.9 bhp,5,19
126,Maruti Ignis 1.2 Alpha,Mumbai,2017,,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5,6.36
127,Hyundai i20 Sportz Diesel,Ahmedabad,2010,,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5,2.7
128,Maruti Ciaz 1.4 AT Alpha,Delhi,2017,32000,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5,9.2
129,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,,5,5.43
130,Honda Amaze S i-Vtech,Delhi,2015,52513,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,4.65
131,Mercedes-Benz New C-Class 200 CDI Elegance,Bangalore,2013,51000,,Manual,First,15.8 kmpl,2148 CC,170 bhp,5,18.5
132,Hyundai Grand i10 1.2 Kappa Asta,Delhi,2018,10000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.5
133,Tata Nano Lx BSIV,,2011,35000,Petrol,Manual,First,25.4 kmpl,624 CC,37.48 bhp,4,1.6
134,Maruti Swift Dzire VDI,Hyderabad,2017,22000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,7.95
135,Tata New Safari Dicor EX 4X2,Kolkata,,90000,Diesel,Manual,Second,13.93 kmpl,2179 CC,138.1 bhp,7,2.75
136,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,90121,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,2.2
137,Maruti Swift Dzire VDi,Hyderabad,2011,,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5,4.39
138,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5,6.45
139,Mahindra Logan Diesel 1.5 DLS,Chennai,2011,128000,Diesel,Manual,Third,,1461 CC,65 bhp,5,2
140,Mahindra Verito 1.5 D6 BSIV,Kochi,2012,,Diesel,Manual,Second,21.0 kmpl,1461 CC,64.1 bhp,5,3.19
141,Maruti Ertiga SHVS VDI,Chennai,2017,80000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,8.1
142,Maruti Swift Dzire VXI,Hyderabad,2012,65097,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,4.7
143,Skoda Superb 2.8 V6 AT,Kolkata,2005,13000,Petrol,Automatic,First,9.3 kmpl,2771 CC,,5,3.25
144,Toyota Etios GD,Bangalore,2012,58253,Diesel,Manual,Second,23.59 kmpl,1364 CC,,5,4.45
145,BMW X6 xDrive30d,Delhi,2011,59000,Diesel,Automatic,First,11.2 kmpl,2993 CC,241 bhp,4,21.9
146,Hyundai i20 Sportz 1.2,Kolkata,2015,32000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,4.8
147,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5,3.25
148,Tata Hexa XTA,Coimbatore,2019,14233,Diesel,Automatic,First,17.6 kmpl,2179 CC,153.86 bhp,7,17.85
149,Honda City i DTec VX,Ahmedabad,2017,37000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,11
150,Chevrolet Cruze LTZ,Mumbai,2011,65000,Diesel,Manual,First,17.9 kmpl,1998 CC,,5,4.55
151,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,19.65
152,Maruti Zen LXi - BS III,Mumbai,2005,102000,Petrol,Manual,First,17.3 kmpl,993 CC,60 bhp,5,0.7
153,Mahindra Quanto C4,Hyderabad,2012,90049,Diesel,Manual,First,17.21 kmpl,1493 CC,100 bhp,7,3.8
154,Maruti Celerio VXI AMT,Chennai,2015,,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,3.5
155,Ford Ecosport 1.5 DV5 MT Titanium Optional,Jaipur,2013,92250,Diesel,Manual,Second,22.7 kmpl,1498 CC,89.84 bhp,5,5.75
156,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5,28
157,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,11.5
158,Maruti Swift VDI,Hyderabad,2015,62000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,6.3
159,Maruti Celerio LXI,Hyderabad,2014,58470,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,3.9
160,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,33.5
161,Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,21000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,24.5
162,Mahindra XUV500 AT W10 FWD,Mumbai,2016,,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,13.75
163,Renault Captur 1.5 Diesel Platine Mono,Kochi,2019,3102,,Manual,First,20.37 kmpl,1461 CC,108.45 bhp,5,14.01
164,Hyundai i10 Sportz AT,Ahmedabad,2012,,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,3.41
165,Ford Figo Aspire 1.2 Ti-VCT Ambiente,,2016,29875,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,4.85
166,Maruti Swift Dzire VXI,Pune,2016,,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,5.3
167,BMW 3 Series 320d,Coimbatore,2009,103905,Diesel,Automatic,First,22.69 kmpl,0CC,190 bhp,5,9.92
168,Hyundai Verna 1.6 SX,Bangalore,2012,67000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,6.25
169,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Chennai,2017,34000,Diesel,Automatic,First,13.0 kmpl,2143 CC,,5,36
170,Skoda Octavia RS,Jaipur,2005,100000,Petrol,Automatic,First,14.45 kmpl,1984 CC,,5,2.05
171,Honda City 1.5 V MT,Delhi,2010,80302,Petrol,Manual,First,17.0 kmpl,0CC,118 bhp,5,3.5
172,Honda City 1.5 S AT,Mumbai,2013,,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5,4.5
173,Maruti Alto LXi BSIII,Hyderabad,2009,35000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,1.7
174,Hyundai Santro Xing GL Plus,Ahmedabad,,41125,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5,2.7
175,Mahindra XUV500 W8 4WD,Hyderabad,2015,88428,Diesel,Manual,First,16.0 kmpl,0CC,140 bhp,7,10.6
176,Mercedes-Benz GLC 220d Celebration Edition,Kochi,,26192,Diesel,Automatic,First,17.9 kmpl,2143 CC,168 bhp,5,40.47
177,Honda Jazz 1.5 V i DTEC,Ahmedabad,2016,35000,Diesel,Manual,First,27.3 kmpl,0CC,98.6 bhp,5,5.5
178,Skoda Superb Style 1.8 TSI AT,Mumbai,2016,53000,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5,17.85
179,Hyundai Grand i10 Sportz,Kochi,2016,19947,Petrol,Manual,First,18.9 kmpl,0CC,82 bhp,5,5.04
180,Maruti Ertiga ZDI,,2013,75000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,6.55
181,Maruti Zen LX,Jaipur,1998,95150,Petrol,Manual,Third,17.3 kmpl,993 CC,60 bhp,5,0.53
182,Maruti Vitara Brezza LDi,Kochi,,32539,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,8.39
183,Hyundai Creta 1.6 SX Plus Petrol Automatic,Ahmedabad,2017,25000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5,12.75
184,Mahindra Scorpio VLX 4WD,Bangalore,2007,81000,Diesel,Manual,,12.05 kmpl,2179 CC,120 bhp,8,4.35
185,Ford EcoSport 1.5 Diesel Titanium,Coimbatore,2018,32189,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5,9.25
186,Hyundai Verna CRDi SX,Hyderabad,2013,82966,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,7.2
187,Toyota Innova 2.5 GX (Diesel) 8 Seater,Chennai,2014,250000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8,10.9
188,Ford Fiesta 1.6 ZXi Leather,Chennai,2008,94873,Petrol,Manual,Second,15.3 kmpl,1596 CC,101 bhp,5,1.85
189,Honda City 1.5 S MT,Bangalore,2012,72000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,5.75
190,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.2
191,Honda Mobilio S i VTEC,Kolkata,2015,26000,Petrol,Manual,First,17.3 kmpl,1497 CC,117.3 bhp,7,4.25
192,BMW 5 Series 2007-2010 525d Sedan,Delhi,2012,,Diesel,Automatic,Second,16.73 kmpl,2495 CC,218 bhp,5,15.5
193,Toyota Etios Cross 1.4 GD,Ahmedabad,2017,42000,,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5,6.25
194,Ford EcoSport 1.5 Petrol Titanium Plus AT,Pune,2017,14000,Petrol,Automatic,First,14.8 kmpl,1497 CC,,5,9.99
195,Hyundai Elantra CRDi SX AT,Ahmedabad,2016,22000,Diesel,Automatic,First,19.5 kmpl,1582 CC,126.24 bhp,5,16
196,Hyundai Santro Xing GLS,Mumbai,2009,42000,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5,1.45
197,Audi TT 2.0 TFSI,Delhi,2013,12100,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,2,29.5
198,Maruti Wagon R LXI,Kochi,2011,15466,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,3.36
199,Maruti Swift Dzire ZXi,Kochi,2014,49386,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,4.86
